scan_no,timestamp,pair,buy_dex,sell_dex,buy_pool,sell_pool,buy_price_usdc,sell_price_usdc,spot_spread_bps,executable_spread_bps,raw_spread_bps,flash_size_usd,trade_size_usd,gross_profit_usd,slippage_cost_usd,flash_fee_usd,gas_cost_usd,expected_net_edge,p_fill,e_profit,profitable,hop_count,route_tokens,route_pools,route_dexes,route_id,route_leg_amounts_in,route_leg_amounts_out
1,1781026288.8760397,MaticX->USDCe->WMATIC->MaticX,univ3_100->qsv2->univ3_500,triangular,0x11B3BF4cAF016e6fC9B4dC713CF1C33BDe952045,0x12CfbfFF0Ea06A04DfA50d8597143313C3Dd75d4,0.0,0.0,33156.8399,33156.8399,33156.8399,10000.0,10000.0,33156.8399,0.0,0.0,0.2384,33156.8399,1.0,33156.6015,True,3,MaticX->USDCe->WMATIC->MaticX,0x11B3BF4cAF016e6fC9B4dC713CF1C33BDe952045->0x6e7a5FAFcec6BB1e78bAE2A1F0B612012BF14827->0x12CfbfFF0Ea06A04DfA50d8597143313C3Dd75d4,univ3_100->qsv2->univ3_500,,,
1,1781026289.7407167,MaticX→USDCe→WBTC→WMATIC→MaticX,univ3_100,univ3_10000,0x11B3BF4cAF016e6fC9B4dC713CF1C33BDe952045,0x13087dA92A3c74e8C2d9c30523DC962AD01fcd5a,0.0,0.0,19032.9328,19032.9328,19032.9328,50.0,50.0,95.1647,0.0,0.0,0.3179,94.8468,1.0,94.8468,True,4,MaticX->USDCe->WBTC->WMATIC->MaticX,0x11B3BF4cAF016e6fC9B4dC713CF1C33BDe952045->0x847b64f9d3A95e977D157866447a5C0A5dFa0Ee5->0x6b75F2189F0E11C52e814E09e280eb1a9A8A094a->0x13087dA92A3c74e8C2d9c30523DC962AD01fcd5a,univ3_100->univ3_3000->univ3_500->univ3_10000,rg_11980e4f987d,"[0.26448153795, 0.21045139794405052, 3.4107086983632728e-06, 2.807485198075866]","[0.21045139794405052, 3.4107086983632728e-06, 2.807485198075866, 0.767867472675758]"
1,1781026289.7415073,MaticX→USDCe→USDT→WMATIC→MaticX,univ3_100,univ3_10000,0x11B3BF4cAF016e6fC9B4dC713CF1C33BDe952045,0x13087dA92A3c74e8C2d9c30523DC962AD01fcd5a,0.0,0.0,18973.4136,18973.4136,18973.4136,50.0,50.0,94.8671,0.0,0.0,0.3179,94.5492,1.0,94.5492,True,4,MaticX->USDCe->USDT->WMATIC->MaticX,0x11B3BF4cAF016e6fC9B4dC713CF1C33BDe952045->0x24555B1E26407b8b56621da41F175c5E2B80f1b8->0x9a72FC3Fb9E99087d2eAE500355E7902C763f9B3->0x13087dA92A3c74e8C2d9c30523DC962AD01fcd5a,univ3_100->univ3_3000->univ3_10000->univ3_10000,rg_3d37a6baa433,"[0.26448153795, 0.21045139794405052, 0.2103605614333729, 2.789643835859928]","[0.21045139794405052, 0.2103605614333729, 2.789643835859928, 0.7662932984893317]"
1,1781026289.741707,MaticX→USDCe→DAI→WMATIC→MaticX,univ3_100,univ3_10000,0x11B3BF4cAF016e6fC9B4dC713CF1C33BDe952045,0x13087dA92A3c74e8C2d9c30523DC962AD01fcd5a,0.0,0.0,18968.8411,18968.8411,18968.8411,50.0,50.0,94.8442,0.0,0.0,0.3179,94.5263,1.0,94.5263,True,4,MaticX->USDCe->DAI->WMATIC->MaticX,0x11B3BF4cAF016e6fC9B4dC713CF1C33BDe952045->0x257d365f7870742C87Bb3a8A53a609979908799A->0xFE530931dA161232Ec76A7c3bEA7D36cF3811A0d->0x13087dA92A3c74e8C2d9c30523DC962AD01fcd5a,univ3_100->univ3_3000->univ3_3000->univ3_10000,rg_e282cc04311d,"[0.26448153795, 0.21045139794405052, 0.2103838085181048, 2.7882795499749964]","[0.21045139794405052, 0.2103838085181048, 2.7882795499749964, 0.7661723636212209]"
1,1781026289.7418227,MaticX→USDCe→LINK→WMATIC→MaticX,univ3_100,univ3_10000,0x11B3BF4cAF016e6fC9B4dC713CF1C33BDe952045,0x13087dA92A3c74e8C2d9c30523DC962AD01fcd5a,0.0,0.0,18927.1367,18927.1367,18927.1367,50.0,50.0,94.6357,0.0,0.0,0.3179,94.3178,1.0,94.3178,True,4,MaticX->USDCe->LINK->WMATIC->MaticX,0x11B3BF4cAF016e6fC9B4dC713CF1C33BDe952045->0x22177148e681A6ca5242c9888Ace170EE7eC47BD->0x97EDFd21A5639D450131cd2e42958cbfEeAFbB7E->0x13087dA92A3c74e8C2d9c30523DC962AD01fcd5a,univ3_100->univ3_500->univ3_10000->univ3_10000,rg_85eac7bc2582,"[0.26448153795, 0.21045139794405052, 0.026907044620669618, 2.775877997301191]","[0.21045139794405052, 0.026907044620669618, 2.775877997301191, 0.7650693614212628]"
